time,x,y
0,720,0
720,720,0
1444,724,0
2164,720,1
2884,720,1
3608,724,1
4324,716,1
5088,764,1
5788,700,1
6508,720,1
7232,724,1
7968,736,1
8732,764,1
9412,680,1
10132,720,1
10856,724,1
11596,740,1
12336,740,1
13116,780,1
13796,680,1
14536,740,1
15260,724,1
15996,736,1
16700,704,1
17420,720,0
18840,1420,0
19544,704,0
20264,720,0
20964,700,0
21684,720,0
22384,700,0
23104,720,0
23824,720,0
24528,704,1
25268,740,1
25992,724,1
26712,720,1
27432,720,1
28196,764,1
28872,676,1
29592,720,1
30312,720,1
31016,704,1
31756,740,0
32496,740,0
33216,720,0
33920,704,1
34640,720,1
35360,720,1
36120,760,1
36800,680,1
37520,720,1
38244,724,1
38964,720,1
39684,720,1
40424,740,0
41144,720,0
41868,724,0
