time,x,y
0,580,0
576,576,0
1152,576,0
1724,572,0
2300,576,0
2880,580,0
3444,564,0
4024,580,0
4604,580,0
5164,560,0
5756,592,1
6328,572,1
6904,576,1
7480,576,1
8060,580,1
8628,568,1
9260,632,1
9780,520,1
10356,576,1
10924,568,1
11504,580,1
12080,576,1
12656,576,1
13236,580,1
13812,576,0
14388,576,0
14972,584,0
15552,580,0
16132,580,0
16716,584,0
17292,576,0
17872,580,0
18452,580,0
19032,580,0
19612,580,0
20776,1164,0
21352,576,0
21984,632,0
22508,524,0
23080,572,0
23664,584,0
24240,576,0
24816,576,0
25396,580,0
25976,580,0
26552,576,0
27132,580,0
27712,580,0
28292,580,1
28872,580,1
29452,580,1
30036,584,1
30612,576,1
31252,640,1
31784,532,1
32368,584,1
32948,580,1
33528,580,1
34108,580,1
34684,576,0
35264,580,0
35840,576,0
36412,572,0
36988,576,0
37560,572,0
38136,576,0
38716,580,0
39284,568,0
39856,572,0
40424,568,0
41000,576,0
41564,564,0
42136,572,0
42708,572,0
43280,572,0
43852,572,0
44420,568,0
44996,576,0
45564,568,0
46140,576,0
46708,568,0
47284,576,0
47852,568,0
48428,576,0
49004,576,0
49576,572,0
50144,568,0
50720,576,0
51288,568,0
51848,560,0
52428,580,0
52996,568,0
53568,572,0
54132,564,0
54708,576,0
55272,564,0
55840,568,0
56412,572,0
56980,568,0
57548,568,0
58116,568,0
58688,572,0
59252,564,0
59824,572,0
60392,568,1
60956,564,1
61528,572,1
62096,568,1
62664,568,1
63280,616,1
63796,516,1
64364,568,1
64932,568,1
65500,568,1
66064,564,1
66636,572,0
67196,560,0
67764,568,0
68332,568,0
68896,564,0
69460,564,0
70024,564,0
70588,564,0
71148,560,0
71720,572,0
72280,560,0
72840,560,0
73404,564,1
73968,564,1
74528,560,1
75096,568,1
75664,568,1
76284,620,1
76792,508,1
77364,572,1
77928,564,1
78492,564,1
79064,572,1
79628,564,1
80192,564,1
80756,564,1
81372,616,1
81888,516,1
82452,564,1
83016,564,1
83584,568,1
84152,568,1
84716,564,1
85280,564,1
85852,572,1
86472,620,1
86988,516,1
87552,564,1
88120,568,1
88688,568,0
89824,1136,0
90396,572,0
90960,564,0
91536,576,0
92100,564,0
92676,576,0
93808,1132,0
94380,572,0
94940,560,0
95508,568,0
96076,568,0
96640,564,0
97204,564,0
97768,564,0
98336,568,0
