time,x
0,624
620,620
1236,616
1844,608
2508,664
3068,560
3680,612
4288,608
4908,620
5528,620
6144,616
6764,620
7392,628
8020,628
8644,624
9272,628
9904,632
10536,632
11156,620
11780,624
12400,620
13020,620
13632,612
14252,620
14872,620
15488,616
16168,680
16800,632
17380,580
18008,628
18636,628
19312,676
19888,576
20500,612
21172,672
21788,616
22352,564
23016,664
23640,624
24836,1196
25468,632
26156,688
26788,632
27368,580
28008,640
28644,636
29280,636
29908,628
30544,636
31180,636
31812,632
32448,636
33084,636
34356,1272
34996,640
35640,644
36272,632
36956,684
37544,588
38232,688
38812,580
39496,684
40132,636
40472,340
41344,872
41528,184
42040,512
42620,580
43252,632
43896,644
44144,248
44588,444
45180,592
45232,52
45824,592
46460,636
47100,640
48420,1320
49004,584
49640,636
50268,628
50908,640
51552,644
52188,636
52824,636
53368,544
54148,780
55400,1252
55984,584
56608,624
57236,628
57868,632
58512,644
59164,652
59816,652
60468,652
61128,660
61792,664
62444,652
62912,468
63080,168
64372,1292
65012,640
65640,628
66268,628
66708,440
66948,240
67404,456
67568,164
67792,224
68152,360
68784,632
69408,624
69524,116
70036,512
70668,632
70816,148
71084,268
71936,852
72572,636
73208,636
73656,448
73848,192
74000,152
74384,384
74476,92
74712,236
75108,396
75584,476
76372,788
77008,636
77640,632
78268,628
78904,636
79540,636
80172,632
80816,644
81456,640
82088,632
83368,1280
83996,628
84624,628
85252,628
85864,612
86484,620
87108,624
87728,620
88404,676
88984,580
89608,624
90244,636
90800,556
91484,684
92108,624
92556,448
93204,648
93356,152
94616,1260
95240,624
95732,492
95872,140
96504,632
96728,224
97136,408
98404,1268
99040,636
99676,636
100312,636
100948,636
101584,636
101728,144
102212,484
102844,632
103472,628
103724,252
104096,372
104720,624
105348,628
105972,624
106596,624
106724,128
107224,500
107856,632
108484,628
108732,248
109104,372
109728,624
110356,628
111028,672
111604,576
112292,688
112876,584
113504,628
114192,688
114820,628
115396,576
116020,624
116644,624
117312,668
117880,568
118556,676
119132,576
119752,620
120440,688
121032,592
121668,636
122312,644
122956,644
123604,648
124244,640
124892,648
125540,648
126180,640
126828,648
127468,640
128108,640
128748,640
129396,648
130032,636
130676,644
131328,652
131968,640
132612,644
133308,696
133904,596
134544,640
135240,696
135840,600
136480,640
137124,644
138400,1276
139032,632
139660,628
140296,636
140928,632
141608,680
142244,636
142876,632
143460,584
144092,632
144732,640
145364,632
146000,636
146636,636
147272,636
147908,636
148544,636
149228,684
149864,636
150440,576
151072,632
151704,632
152332,628
152960,628
153596,636
154220,624
154844,624
155468,624
156092,624
156712,620
157376,664
157996,620
158620,624
159244,624
159872,628
160500,628
161132,632
161704,572
162336,632
162964,628
163584,620
164212,628
164888,676
165460,572
166076,616
166696,620
167316,620
167940,624
168560,620
169180,620
169852,672
170424,572
171048,624
171672,624
172292,620
172908,616
173532,624
174200,668
174764,564
175376,612
175988,612
176596,608
177208,612
177868,660
178432,564
179040,608
179652,612
180268,616
180880,612
181492,612
182160,668
182728,568
183344,616
183960,616
184576,616
185196,620
186428,1232
187048,620
187664,616
