time,x
0,672
676,676
1360,684
2044,684
2720,676
3392,672
4056,664
4720,664
5372,652
6036,664
6688,652
7336,648
7976,640
8616,640
9252,636
9936,684
10520,584
11152,632
11788,636
12412,624
13064,652
13704,640
14344,640
14980,636
15612,632
16252,640
16892,640
17524,632
18164,640
18712,548
20076,1364
20720,644
21356,636
22000,644
23332,1332
23928,596
24568,640
25216,648
25912,696
26556,644
27212,656
27816,604
28512,696
29116,604
29764,648
30412,648
31056,644
31692,636
32412,720
33036,624
33636,600
34292,656
34956,664
35612,656
36280,668
36944,664
37596,652
38256,660
38916,660
39572,656
40236,664
40904,668
41564,660
42240,676
42912,672
43580,668
44244,664
44896,652
45544,648
46192,648
46884,692
47536,652
48180,644
48784,604
49436,652
50092,656
50772,680
52156,1384
52856,700
53552,696
54252,700
54940,688
55644,704
56332,688
57016,684
57696,680
58368,672
59036,668
59704,668
60376,672
61088,712
61720,632
62396,676
63072,676
63756,684
64432,676
65120,688
65844,724
67212,1368
67908,696
68548,640
69240,692
69932,692
70616,684
71320,704
72004,684
72720,716
73412,692
74112,700
74804,692
75552,748
76192,640
76880,688
77572,692
78308,736
78956,648
79640,684
80340,700
80880,540
81720,840
82404,684
83092,688
83820,728
85148,1328
85836,688
86524,688
87204,680
87940,736
88572,632
89312,740
90624,1312
91304,680
91976,672
92652,676
93316,664
93988,672
94652,664
95340,688
96008,668
96688,680
97360,672
98040,680
98712,672
99396,684
100120,724
100748,628
101420,672
102100,680
102776,676
103460,684
104136,676
104812,676
106144,1332
106800,656
107456,656
107912,456
