time,x
0,764
760,760
1520,760
2280,760
3048,768
3800,752
4544,744
5284,740
6032,748
6780,748
7524,744
8264,740
9016,752
9780,764
10548,768
11308,760
12072,764
12836,764
13604,768
14372,768
15176,804
15872,696
16604,732
17340,736
18080,740
18800,720
19520,720
20248,728
20992,744
21704,712
22428,724
23176,748
23916,740
24660,744
25380,720
26092,712
26820,728
27544,724
28272,728
28992,720
29728,736
30468,740
31204,736
31944,740
32668,724
33412,744
34148,736
34880,732
35592,712
36316,724
37036,720
37772,736
38504,732
39220,716
39964,744
40708,744
41488,780
42240,752
42968,728
43712,744
44464,752
45208,744
45924,716
46640,716
47364,724
48104,740
48832,728
49568,736
50312,744
51056,744
51792,736
52524,732
53244,720
53972,728
54708,736
55444,736
56200,756
56936,736
57672,736
58396,724
59108,712
59840,732
60568,728
61304,736
62028,724
62780,752
63524,744
64272,748
64988,716
65712,724
66440,728
67176,736
67924,748
68672,748
69392,720
70112,720
70832,720
71548,716
72264,716
72968,704
73688,720
74400,712
75120,720
75828,708
76548,720
77276,728
78032,756
78764,732
79496,732
80248,752
80988,740
81720,732
82436,716
83168,732
83900,732
84624,724
85340,716
86076,736
86808,732
87532,724
88244,712
88972,728
89708,736
90436,728
91188,752
91940,752
92696,756
93440,744
94208,768
94976,768
95736,760
96492,756
97260,768
98032,772
98808,776
99596,788
100392,796
101224,832
101964,740
102752,788
103536,784
104320,784
105084,764
105848,764
106608,760
107360,752
108100,740
108828,728
109548,720
110260,712
110988,728
111724,736
112456,732
113188,732
113936,748
114672,736
115420,748
116908,1488
117640,732
118388,748
119144,756
119900,756
120652,752
121396,744
122140,744
122868,728
123584,716
124300,716
125012,712
125716,704
126420,704
127132,712
127852,720
128584,732
129316,732
130056,740
130812,756
131560,748
132320,760
133076,756
133832,756
134580,748
135312,732
136036,724
136764,728
137480,716
138196,716
138896,700
139608,712
140312,704
141020,708
141728,708
142456,728
143192,736
143916,724
144656,740
145392,736
146132,740
146888,756
147644,756
148388,744
149152,764
149940,788
150724,784
151484,760
152256,772
153024,768
153772,748
154520,748
155252,732
155972,720
156688,716
157412,724
158152,740
158868,716
159572,704
160284,712
160984,700
161676,692
162364,688
163064,700
163760,696
164452,692
165140,688
165828,688
166532,704
167248,716
167960,712
168664,704
169380,716
170132,752
170880,748
171628,748
172364,736
173124,760
173904,780
174680,776
175424,744
176220,796
177008,788
177792,784
178568,776
179324,756
180132,808
180944,812
181740,796
182504,764
183284,780
184072,788
184832,760
185600,768
186404,804
187984,1580
188720,736
189476,756
190220,744
190952,732
191676,724
192424,748
193156,732
193880,724
194592,712
195308,716
196012,704
196716,704
197416,700
198112,696
198812,700
199500,688
200188,688
200872,684
201552,680
202228,676
202900,672
203572,672
204252,680
204932,680
205616,684
206300,684
206980,680
207656,676
208324,668
208996,672
209672,676
210340,668
211008,668
211676,668
212340,664
213008,668
213680,672
214360,680
215044,684
215720,676
