time,x,y
0,632,0
636,636,0
1272,636,0
1908,636,0
2156,248,0
2540,384,0
3820,1280,0
4460,640,0
5092,632,0
5732,640,0
6156,424,0
6376,220,0
7008,632,0
7644,636,0
8276,632,1
8916,640,1
9560,644,1
10252,692,1
10840,588,1
11476,636,1
12112,636,1
12748,636,1
13388,640,0
14020,632,0
14652,632,0
15292,640,1
15924,632,1
16556,632,1
17248,692,1
17824,576,1
18456,632,1
19088,632,1
19724,636,1
20360,636,1
20992,632,1
21628,636,0
22260,632,0
22900,640,0
23524,624,0
24160,636,0
24792,632,0
25428,636,0
26060,632,1
26692,632,1
27324,632,1
27948,624,1
28584,636,1
29268,684,1
29840,572,1
30468,628,1
31104,636,1
31728,624,1
32356,628,0
32984,628,0
33616,632,0
34256,640,0
34888,632,0
35528,640,0
36168,640,0
36800,632,0
37432,632,0
38064,632,1
38700,636,1
39336,636,1
39964,628,1
40592,628,1
41284,692,1
41856,572,1
42480,624,1
43100,620,1
43732,632,1
44360,628,1
44984,624,1
45612,628,1
46296,684,1
46868,572,1
47492,624,1
48116,624,1
48744,628,0
51248,2504,0
51876,628,0
52508,632,0
53140,632,0
53772,632,0
55656,1884,0
56288,632,0
56916,628,0
