time,x,y
0,820,0
848,848,0
1728,880,0
2504,776,0
3328,824,0
4188,860,0
5040,852,0
5972,932,0
6772,800,0
7712,940,0
8560,848,0
8676,116,0
9488,812,0
10344,856,0
12948,2604,0
14588,1640,0
15456,868,0
16340,884,1
17184,844,1
18108,924,1
18916,808,1
19776,860,1
20612,836,1
21492,880,1
22364,872,0
23244,880,0
24120,876,0
25000,880,0
25884,884,0
26776,892,0
27664,888,0
28516,852,0
29392,876,0
30336,944,0
31168,832,0
32024,856,0
32964,940,0
33788,824,0
34640,852,0
35580,940,0
36488,908,0
37308,820,0
38172,864,0
39120,948,0
39960,840,0
40868,908,0
41704,836,0
42580,876,0
43436,856,1
44276,840,1
45148,872,1
46028,880,1
46896,868,1
47812,916,1
48632,820,1
49504,872,1
50344,840,1
51196,852,1
52064,868,1
52908,844,1
53756,848,1
54668,912,1
55480,812,1
56320,840,1
57176,856,1
58036,860,1
58912,876,0
59760,848,0
60608,848,0
61400,792,0
62220,820,0
63100,880,0
63944,844,0
64792,848,0
65636,844,0
66496,860,0
67368,872,0
68212,844,0
69092,880,0
69964,872,0
70896,932,0
71752,856,0
72644,892,0
73540,896,0
74352,812,0
75224,872,0
76084,860,0
76964,880,0
77816,852,0
78732,916,0
79600,868,0
80412,812,0
81260,848,0
82136,876,0
82992,856,0
83896,904,0
84708,812,0
85444,736,0
86260,816,0
87152,892,0
87916,764,0
88740,824,0
89584,844,0
90492,908,0
91280,788,0
92112,832,0
92960,848,0
93820,860,0
94656,836,0
95488,832,0
96360,872,0
97252,892,0
98020,768,0
98916,896,0
99696,780,0
100532,836,0
101352,820,0
102180,828,0
103032,852,0
103900,868,0
104740,840,0
105656,916,0
106452,796,0
107292,840,0
108176,884,0
108988,812,0
109936,948,0
110740,804,0
111592,852,0
112456,864,0
113328,872,1
114168,840,1
115032,864,1
115940,908,1
116696,756,1
117500,804,1
118296,796,1
119148,852,1
120004,856,0
120936,932,0
122708,1772,0
123640,932,0
124564,924,0
125516,952,0
