time,x,y
0,704,0
688,688,0
1368,680,0
2036,668,0
2704,668,0
3360,656,0
4016,656,0
4664,648,0
5312,648,0
5964,652,0
6616,652,0
7256,640,0
7912,656,0
8536,624,0
9128,592,0
9744,616,0
10352,608,0
10956,604,0
11560,604,0
12168,608,0
12772,604,0
13380,608,0
13992,612,0
14600,608,0
15220,620,0
15836,616,0
16460,624,0
17084,624,0
17696,612,0
18308,612,1
18916,608,1
19520,604,1
20112,592,1
20724,612,1
21280,556,1
21868,588,1
22448,580,1
23028,580,1
23628,600,1
24172,544,1
24756,584,1
25328,572,1
25908,580,1
26480,572,1
27052,572,1
27648,596,1
28188,540,1
28768,580,1
29344,576,1
29924,580,1
30504,580,0
31084,580,0
31656,572,0
32244,588,0
32844,600,0
33416,572,0
33988,572,0
34552,564,0
35116,564,0
35652,536,0
36208,556,0
36772,564,0
37336,564,0
37912,576,0
38492,580,0
39072,580,0
39648,576,0
40228,580,0
40824,596,0
41380,556,0
41976,596,0
42528,552,0
43108,580,0
43688,580,0
44296,608,0
44852,556,0
45452,600,0
46000,548,0
46568,568,0
47132,564,0
47712,580,0
48248,536,0
48824,576,0
49348,524,0
49888,540,0
50432,544,0
50976,544,0
51520,544,0
52072,552,0
52620,548,0
53180,560,0
53740,560,0
54304,564,0
54872,568,0
55440,568,0
56024,584,0
56588,564,0
57144,556,0
57700,556,0
58228,528,0
58788,560,0
59340,552,0
59900,560,0
60460,560,0
61016,556,0
61596,580,0
62140,544,0
62724,584,0
63268,544,0
63848,580,0
64388,540,0
64948,560,0
65520,572,0
66052,532,0
66600,548,0
67144,544,0
67696,552,0
68240,544,0
68788,548,0
69356,568,0
69880,524,0
70448,568,0
70964,516,0
71512,548,0
72076,564,0
72604,528,0
73148,544,0
73720,572,0
74252,532,0
74804,552,0
75356,552,0
75916,560,0
76476,560,0
77044,568,0
77608,564,0
78176,568,0
78760,584,0
79296,536,0
79852,556,0
80428,576,0
80976,548,0
81524,548,0
82040,516,0
82592,552,0
83136,544,0
83712,576,0
84264,552,0
84792,528,0
85360,568,0
85928,568,0
86512,584,0
87100,588,0
87696,596,0
88312,616,0
88896,584,0
89472,576,0
90032,560,0
90604,572,0
91196,592,0
91736,540,0
92296,560,0
92876,580,0
93408,532,0
93964,556,0
94520,556,0
95072,552,0
95624,552,0
96196,572,0
96744,548,0
97260,516,0
97804,544,0
98344,540,0
98900,556,0
99436,536,0
99948,512,0
100488,540,0
101024,536,0
101564,540,0
102120,556,0
102604,484,0
103220,616,0
103760,540,0
104320,560,0
104876,556,0
105436,560,0
106564,1128,0
107152,588,0
107708,556,0
108168,460,0
108800,632,0
109236,436,0
109900,664,0
110444,544,0
110988,544,0
111528,540,0
112068,540,0
112604,536,0
113156,552,0
113716,560,0
114304,588,0
114856,552,0
115428,572,0
116008,580,0
116600,592,0
117144,544,0
117712,568,0
118272,560,0
118836,564,0
119416,580,0
119972,556,0
120436,464,0
121056,620,0
121604,548,0
122148,544,0
122692,544,0
123236,544,0
123768,532,0
124316,548,0
124856,540,0
125412,556,0
125940,528,0
126480,540,0
127020,540,0
127560,540,0
128096,536,0
128652,556,0
129188,536,0
129720,532,0
130252,532,0
130760,508,0
131292,532,0
131832,540,0
132372,540,0
132940,568,0
133504,564,0
134624,1120,0
135208,584,0
135768,560,0
136384,616,0
137776,1392,0
138480,704,0
139220,740,0
140648,1428,0
141340,692,0
141956,616,0
142596,640,0
143240,644,0
143912,672,0
145276,1364,0
145940,664,0
146592,652,0
147232,640,0
147872,640,0
148520,648,0
149112,592,0
149732,620,0
150964,1232,0
151572,608,0
152788,1216,0
153392,604,0
154000,608,0
154612,612,0
155904,1292,0
156536,632,0
157812,1276,0
158436,624,0
159696,1260,0
160316,620,0
161780,1464,0
162528,748,0
163308,780,0
164892,1584,0
165636,744,0
166368,732,0
167756,1388,0
168404,648,0
169696,1292,0
170320,624,0
170968,648,0
171604,636,0
172216,612,0
172852,636,0
173496,644,0
174152,656,0
174820,668,0
175516,696,0
176224,708,0
177736,1512,0
178472,736,0
179268,796,0
180872,1604,0
181628,756,0
182388,760,0
183904,1516,0
184632,728,0
185372,740,0
186112,740,0
186856,744,0
187612,756,0
188348,736,0
189104,756,0
189868,764,0
190620,752,0
191376,756,0
192128,752,0
192876,748,0
193608,732,0
194348,740,0
195060,712,0
195792,732,0
196520,728,0
197260,740,0
198004,744,0
198748,744,0
199496,748,0
200232,736,0
200968,736,0
201700,732,0
202440,740,0
203180,740,0
203912,732,0
204680,768,0
205460,780,0
206272,812,0
207108,836,0
207944,836,0
208776,832,0
209600,824,0
210408,808,0
211192,784,0
211956,764,0
212712,756,0
213468,756,0
214216,748,0
215000,784,0
215780,780,0
216536,756,0
217280,744,0
218004,724,0
218700,696,0
219396,696,0
220076,680,0
220760,684,0
221436,676,0
222100,664,0
222772,672,0
223440,668,0
224104,664,0
224768,664,0
225428,660,0
226096,668,0
226756,660,0
227416,660,0
228068,652,0
228712,644,0
229360,648,0
229992,632,0
230624,632,0
231264,640,0
231908,644,0
232576,668,0
233228,652,0
233872,644,0
234500,628,0
235120,620,0
235732,612,0
236340,608,0
236944,604,0
237544,600,0
238140,596,0
238744,604,0
239352,608,0
239972,620,0
240608,636,0
241276,668,0
241964,688,0
242680,716,0
243428,748,0
244196,768,0
244972,776,0
245740,768,0
246484,744,0
247212,728,0
247908,696,0
248604,696,0
249288,684,0
249960,672,0
250624,664,0
251272,648,0
251932,660,0
252544,612,0
253176,632,0
253808,632,0
254448,640,0
255108,660,0
255776,668,0
256452,676,0
257156,704,0
257852,696,0
258564,712,0
259272,708,0
259980,708,0
260660,680,0
261344,684,0
262024,680,0
262704,680,0
263396,692,0
264076,680,0
264752,676,0
265460,708,0
266224,764,0
266996,772,0
267756,760,0
268524,768,0
269308,784,0
270088,780,0
270860,772,0
