time,x
0,556
328,328
608,280
1220,612
1324,104
1824,500
2432,608
3036,604
3328,292
3640,312
4244,604
4852,608
6064,1212
6328,264
6668,340
7272,604
7888,616
8496,608
9104,608
9328,224
9708,380
10316,608
10928,612
11328,400
11536,208
12144,608
14580,2436
15196,616
15808,612
16420,612
17036,616
17656,620
18268,612
18880,612
19336,456
19496,160
20116,620
20336,220
20732,396
21340,608
22336,996
22580,244
23196,616
23812,616
24336,524
25048,712
25660,612
26272,612
26892,620
27340,448
27500,160
28108,608
28344,236
28724,380
29336,612
29948,612
31340,1392
34264,2924
34884,620
35504,620
36128,624
36744,616
37992,1248
38608,616
39228,620
39844,616
40460,616
41072,612
41684,612
42304,620
42964,660
43524,560
44132,608
44744,612
45976,1232
46588,612
47200,612
47812,612
48424,612
49036,612
49352,316
49656,304
50272,616
51504,1232
52128,624
52748,620
53976,1228
54592,616
55208,616
55820,612
56436,616
57048,612
57660,612
58268,608
58928,660
59496,568
60108,612
60720,612
61336,616
61948,612
62568,620
63188,620
63800,612
64464,664
65028,564
65648,620
66264,616
66928,664
67492,564
68116,624
68728,612
69344,616
69952,608
70364,412
70572,208
71188,616
71800,612
72460,660
73024,564
73640,616
74256,616
74872,616
75364,492
75492,128
76108,616
76364,256
76720,356
77960,1240
78588,628
79204,616
80476,1272
81100,624
81724,624
82356,632
82980,624
83604,624
84220,616
84892,672
85464,572
86084,620
86364,280
86704,340
87372,668
87944,572
88576,632
89208,632
