time,x
0,556
552,552
1112,560
1668,556
2220,552
2780,560
3336,556
3888,552
4444,556
5000,556
5552,552
6108,556
6664,556
7216,552
7772,556
8328,556
8884,556
9440,556
10000,560
10548,548
11108,560
11668,560
12220,552
12776,556
13340,564
13896,556
14452,556
15016,564
15568,552
16128,560
16688,560
17248,560
17804,556
18368,564
18928,560
19484,556
20092,608
20600,508
21152,552
21712,560
22264,552
22816,552
23372,556
23928,556
24484,556
25028,544
25592,564
26144,552
26704,560
27260,556
27816,556
28376,560
28936,560
29484,548
30096,612
30604,508
31164,560
31728,564
32292,564
32848,556
33412,564
33976,564
34540,564
35104,564
35672,568
36232,560
36792,560
37364,572
37924,560
38484,560
39036,552
39600,564
40160,560
40716,556
41268,552
41824,556
42380,556
42928,548
43484,556
44036,552
44596,560
45152,556
45708,556
46264,556
46824,560
47388,564
47944,556
48504,560
49120,616
49628,508
50184,556
50748,564
51308,560
51864,556
52428,564
52984,556
53540,556
54100,560
54656,556
55212,556
55772,560
56324,552
56884,560
57444,560
58004,560
58564,560
59128,564
59684,556
60248,564
60816,568
61376,560
61940,564
62504,564
63116,612
63632,516
64196,564
64756,560
65324,568
65888,564
66452,564
67016,564
67576,560
68140,564
68704,564
69260,556
69824,564
70384,560
70944,560
71504,560
72116,612
72624,508
73180,556
73748,568
74316,568
74880,564
75448,568
76012,564
76576,564
77140,564
77704,564
78264,560
78832,568
79396,564
79960,564
80528,568
81144,616
81660,516
82228,568
82796,568
83364,568
83932,568
84504,572
85064,560
85640,576
86212,572
86780,568
87348,568
87924,576
88492,568
89056,564
89628,572
90196,568
90764,568
91336,572
91900,564
92472,572
93044,572
93608,564
94180,572
