time,x
0,668
672,672
1328,656
1984,656
2636,652
3280,644
3928,648
4616,688
5260,644
5844,584
6520,676
7108,588
7756,648
8400,644
9052,652
9756,704
10368,612
11028,660
11596,568
12352,756
13004,652
13660,656
14320,660
14968,648
15628,660
16276,648
16924,648
17576,652
18232,656
18896,664
19556,660
20240,684
20912,672
21592,680
22272,680
23636,1364
24324,688
25004,680
25720,716
26348,628
27020,672
27284,264
27680,396
28340,660
29004,664
29708,704
30312,604
30964,652
31612,648
32252,640
32892,640
33532,640
34172,640
34808,636
35444,636
36072,628
36704,632
36968,264
37324,356
37936,612
38552,616
39356,804
39772,416
39968,196
40388,420
41008,620
41680,672
42244,564
42732,488
43040,308
43200,160
43588,388
43632,44
43904,272
44168,264
44460,292
44800,340
45432,632
45620,188
46056,436
46684,628
47312,628
47936,624
48556,620
49176,620
49792,616
50408,616
51028,620
51636,608
52256,620
52644,388
52876,232
53544,668
54124,580
54760,636
55400,640
56048,648
56700,652
57348,648
57996,648
58636,640
59272,636
59896,624
61128,1232
61732,604
62332,600
62928,596
63564,636
64148,584
64684,536
65264,580
65628,364
65896,268
66296,400
66480,184
67020,540
67612,592
68208,596
68812,604
69416,604
70020,604
70628,608
71236,608
71844,608
72452,608
73052,600
73660,608
74264,604
74868,604
75472,604
76132,660
76696,564
77308,612
77924,616
78544,620
79168,624
79792,624
80416,624
81036,620
81664,628
82288,624
82912,624
83540,628
84172,632
84796,624
85424,628
86104,680
86740,636
87320,580
87948,628
88584,636
89216,632
89852,636
90480,628
91124,644
91756,632
92392,636
93024,632
93660,636
94292,632
94928,636
95564,636
96200,636
96836,636
97472,636
98100,628
98772,672
99336,564
99956,620
100568,612
101188,620
101808,620
102444,636
103104,660
103780,676
104492,712
105124,632
105428,304
105800,372
106476,676
107000,524
107312,312
107404,92
107800,396
108468,668
109128,660
109788,660
110440,652
111104,664
111768,664
112440,672
113112,672
113424,312
113796,372
114476,680
115136,660
115824,688
116556,732
117180,624
117868,688
118560,692
119244,684
119928,684
120612,684
121284,672
121964,680
122660,696
123364,704
124068,704
124760,692
125440,680
126136,696
126816,680
127492,676
128180,688
128856,676
129576,720
130208,632
130884,676
131600,716
132224,624
132900,676
133572,672
134236,664
134896,660
135604,708
136216,612
136868,652
137576,708
138188,612
138852,664
139572,720
140188,616
140852,664
141512,660
142176,664
142836,660
143492,656
144196,704
144800,604
145496,696
146156,660
146808,652
147416,608
148076,660
148752,676
149472,720
150100,628
