time,x
0,684
668,668
1340,672
2000,660
2664,664
3328,664
3984,656
4660,676
5336,676
6012,676
6688,676
7368,680
8040,672
8720,680
9400,680
10068,668
10740,672
11412,672
12784,1372
13436,652
14784,1348
15388,604
16784,1396
17392,608
18764,1372
19424,660
20032,608
20688,656
21336,648
21976,640
22632,656
23292,660
23948,656
24648,700
25264,616
25936,672
26648,712
27320,672
27940,620
28608,668
29284,676
29968,684
30652,684
31324,672
32008,684
32680,672
33344,664
34048,704
34660,612
35308,648
35956,648
36596,640
37232,636
37876,644
38520,644
39156,636
39800,644
40448,648
41092,644
41740,648
42396,656
43048,652
43704,656
44356,652
45008,652
45664,656
46328,664
46984,656
47640,656
48292,652
48936,644
49588,652
50236,648
50888,652
51548,660
52204,656
52912,708
53516,604
54172,656
54816,644
56128,1312
56768,640
57408,640
58096,688
58684,588
59316,632
59956,640
60596,640
61236,640
61884,648
62580,696
63180,600
63824,644
64472,648
65120,648
65768,648
66420,652
67080,660
67736,656
68396,660
69052,656
69712,660
70376,664
71036,660
71696,660
72360,664
73068,708
73676,608
74336,660
75048,712
