time,x
0,900
808,808
1664,856
2520,856
3372,852
4212,840
5092,880
5936,844
6724,788
7616,892
8404,788
9252,848
10092,840
10940,848
11788,848
12680,892
13468,788
14316,848
15168,852
16020,852
16864,844
17696,832
18524,828
19412,888
20244,832
21072,828
21896,824
22668,772
23492,824
24320,828
25152,832
25984,832
26820,836
27644,824
28480,836
29364,884
30164,800
30992,828
31832,840
32676,844
33508,832
34396,888
35224,828
36064,840
36848,784
37668,820
38496,828
39328,832
40152,824
41024,872
41804,780
42620,816
43456,836
44284,828
45156,872
45972,816
46736,764
47368,632
47684,316
48376,692
49196,820
50008,812
50828,820
51640,812
52448,808
53256,808
54072,816
54900,828
55716,816
56536,820
57356,820
58188,832
59012,824
59828,816
60652,824
61480,828
62300,820
63112,812
63936,824
64760,824
65580,820
66440,860
67260,820
68076,816
68832,756
69656,824
70488,832
71320,832
72196,876
72964,768
73784,820
74608,824
75424,816
76252,828
77084,832
77956,872
78724,768
79544,820
80364,820
81184,820
82060,876
82832,772
83644,812
84456,812
85272,816
86100,828
86920,820
87780,860
88604,824
89416,812
90276,860
91128,852
92024,896
92864,840
93664,800
94556,892
95392,836
