time,x
0,892
880,880
1772,892
2664,892
3608,944
4456,848
5344,888
6280,936
7124,844
8044,920
8868,824
9756,888
10624,868
11496,872
12364,868
13232,868
14092,860
15020,928
15840,820
16704,864
17564,860
18440,876
19316,876
20184,868
21064,880
21920,856
22784,864
23660,876
24532,872
25400,868
26260,860
27148,888
28028,880
28908,880
29780,872
30660,880
31528,868
32400,872
33280,880
34144,864
35008,864
35868,860
36732,864
37584,852
38444,860
39316,872
40224,908
41052,828
41924,872
42796,872
43712,916
44528,816
45396,868
46268,872
47148,880
48040,892
48924,884
49460,536
49780,320
50624,844
51488,864
51764,276
52352,588
53256,904
54064,808
54916,852
55776,860
56688,912
57500,812
58360,860
59232,872
60100,868
60976,876
61864,888
62592,728
63324,732
63460,136
63620,160
64388,768
64584,196
64848,264
65356,508
66216,860
66416,200
66576,160
66788,212
67936,1148
68672,736
68796,124
69272,476
69680,408
69968,288
70576,608
70896,320
71476,580
72364,888
73276,912
73508,232
74192,684
74408,216
74704,296
75036,332
76036,1000
77172,1136
77360,188
77868,508
78084,216
78432,348
78760,328
79668,908
80584,916
81500,916
81748,248
82296,548
82416,120
83004,588
83324,320
83520,196
83868,348
83956,88
84372,416
85124,752
85932,808
86944,1012
87852,908
88700,848
89268,568
89428,160
89628,200
90064,436
90180,116
90548,368
90828,280
90932,104
91208,276
91388,180
92264,876
93136,872
94024,888
94908,884
95784,876
96180,396
96660,480
97148,488
97536,388
98416,880
99308,892
100204,896
101096,892
101988,892
102312,324
102848,536
103468,620
103516,48
104532,1016
105436,904
106304,868
106736,432
107040,304
107248,208
108108,860
108656,548
108868,212
108976,108
109880,904
110784,904
111700,916
112644,944
113368,724
113480,112
114364,884
