time,x
0,560
516,516
884,368
976,92
1488,512
1996,508
2504,508
3012,508
3516,504
4024,508
4532,508
5036,504
5536,500
6044,508
6548,504
7056,508
7564,508
8072,508
8580,508
9092,512
9604,512
10116,512
10628,512
11144,516
11660,516
12176,516
12688,512
13204,516
13720,516
14236,516
14752,516
15268,516
15828,560
16856,1028
17320,464
17836,516
18344,508
18856,512
19372,516
19884,512
20392,508
20900,508
21420,520
21980,560
22448,468
22964,516
23484,520
24000,516
24512,512
25032,520
25556,524
26072,516
26592,520
27116,524
27632,516
28200,568
28672,472
29188,516
29704,516
30228,524
31828,1600
32300,472
32816,516
33336,520
33860,524
34380,520
34900,520
35428,528
36008,580
36480,472
37008,528
37540,532
38064,524
38588,524
39120,532
39652,532
40180,528
40712,532
41296,584
41780,484
42308,528
42836,528
43364,528
43896,532
44412,516
45464,1052
45988,524
46508,520
47036,528
47552,516
