time,x,y
0,784,0
724,724,0
1112,388,0
1548,436,0
2324,776,0
2468,144,0
2648,180,0
3080,432,0
3900,820,0
4436,536,0
4836,400,0
5040,204,0
5224,184,0
5996,772,0
6200,204,0
6516,316,0
6692,176,0
6984,292,0
7756,772,0
8468,712,0
9060,592,0
9100,40,0
9456,356,0
10036,580,0
10204,168,0
10552,348,0
10728,176,0
10808,80,0
11600,792,0
12172,572,0
12364,192,0
13020,656,0
13056,36,0
13352,296,0
13848,496,0
14500,652,0
14740,240,0
15468,728,0
16260,792,0
16760,500,0
16908,148,0
17152,244,0
17276,124,0
17740,464,0
18220,480,0
18456,236,0
18584,128,0
19356,772,0
19848,492,0
20088,240,0
20292,204,0
20520,228,0
20776,256,0
21168,392,0
21308,140,0
21576,268,0
21928,352,0
22092,164,0
22436,344,0
23212,776,0
23968,756,0
24536,568,0
24768,232,0
25124,356,0
25548,424,0
25788,240,0
26132,344,0
26372,240,0
26648,276,0
27208,560,0
27992,784,0
28348,356,0
28484,136,0
28880,396,0
29548,668,0
30404,856,0
31152,748,0
31260,108,0
31872,612,0
32020,148,0
32376,356,0
32568,192,0
32752,184,0
33108,356,0
33180,72,0
33620,440,0
33664,44,0
34476,812,0
35300,824,0
36104,804,0
36892,788,0
37668,776,0
38436,768,0
39144,708,0
39908,764,0
40688,780,0
41504,816,0
42340,836,0
43176,836,0
43992,816,0
44800,808,0
45644,844,0
46492,848,0
47312,820,0
48124,812,0
48964,840,0
49832,868,0
50696,864,0
51536,840,0
52360,824,0
54116,1756,0
54892,776,0
55764,872,0
56596,832,0
57456,860,0
58296,840,0
59120,824,0
60032,912,0
60852,820,0
61744,892,0
62572,828,0
63392,820,0
64240,848,0
65076,836,0
65892,816,0
66740,848,0
67584,844,0
68420,836,0
69240,820,0
70096,856,0
70940,844,0
71780,840,0
72644,864,0
73484,840,0
74328,844,0
75228,900,0
76024,796,0
76872,848,0
77732,860,0
78608,876,0
79424,816,0
80240,816,0
80412,172,0
81216,804,0
81460,244,0
81816,356,0
82004,188,0
82732,728,0
83004,272,0
83536,532,0
84388,852,0
85252,864,0
86096,844,0
86240,144,0
86932,692,0
87580,648,0
88232,652,0
88520,288,0
88672,152,0
89280,608,0
89416,136,0
90652,1236,0
91240,588,0
92032,792,0
92876,844,0
93296,420,0
93704,408,0
94628,924,0
95432,804,0
96252,820,0
96840,588,0
97072,232,0
97624,552,0
97940,316,0
98780,840,0
99268,488,0
99520,252,0
99756,236,0
100044,288,0
100304,260,0
100428,124,0
100888,460,0
101452,564,0
101732,280,0
102188,456,0
102696,508,0
102852,156,0
103792,940,0
103860,68,0
104240,380,0
105704,1464,0
105808,104,0
106040,232,0
106356,316,0
107204,848,0
108928,1724,0
109820,892,0
111448,1628,0
112340,892,0
113148,808,0
113424,276,0
114396,972,0
114660,264,0
114872,212,0
115160,288,0
115680,520,0
115728,48,0
116532,804,0
117420,888,0
118224,804,0
119064,840,1
119904,840,1
120736,832,1
121620,884,1
122400,780,1
123232,832,1
124056,824,1
124880,824,1
125696,816,1
126520,824,0
127408,888,0
128352,944,0
128388,36,0
129048,660,0
129492,444,0
129856,364,0
129908,52,0
130672,764,0
130976,304,0
131332,356,0
131932,600,0
132264,332,0
132748,484,0
133860,1112,0
134188,328,0
134656,468,0
135500,844,0
136256,756,0
137112,856,0
137856,744,1
138660,804,1
139460,800,1
140308,848,1
141064,756,1
141864,800,1
142660,796,1
143448,788,1
144240,792,0
145028,788,0
145816,788,0
146612,796,0
147436,824,0
148272,836,0
149100,828,0
149940,840,0
150792,852,0
151644,852,0
152500,856,1
153340,840,1
154200,860,1
155056,856,1
155908,852,1
156744,836,1
157624,880,1
158416,792,1
159252,836,1
160088,836,1
160920,832,1
161740,820,1
162564,824,0
163416,852,0
164264,848,0
165120,856,0
165964,844,0
166812,848,0
167636,824,0
168476,840,0
