time,x
0,916
900,900
1796,896
2680,884
3580,900
4480,900
5388,908
6296,908
7188,892
8088,900
9040,952
9892,852
10780,888
11676,896
12580,904
13480,900
14392,912
15304,912
16212,908
17116,904
18032,916
18948,916
19920,972
20776,856
21684,908
22588,904
23496,908
24408,912
25316,908
26220,904
27108,888
28028,920
28940,912
29864,924
30756,892
31672,916
32580,908
33540,960
34400,860
35292,892
36204,912
37112,908
38024,912
38916,892
39804,888
40700,896
41596,896
42488,892
43388,900
44296,908
45180,884
46084,904
47028,944
47884,856
48776,892
49660,884
50548,888
51436,888
52336,900
53224,888
54116,892
55052,936
55892,840
56832,940
57668,836
58548,880
59448,900
60340,892
61228,888
62132,904
