time,x
0,580
580,580
1168,588
1744,576
2324,580
2912,588
3500,588
4088,588
4676,588
5260,584
5848,588
6436,588
7024,588
7668,644
8244,576
8784,540
9368,584
9948,580
10536,588
11128,592
11708,580
12296,588
12876,580
13456,580
14044,588
14668,624
15204,536
15788,584
16368,580
16952,584
17528,576
18112,584
18696,584
19276,580
19868,592
20452,584
21036,584
21680,644
22216,536
22804,588
23396,592
23984,588
24576,592
25216,640
25756,540
26352,596
26940,588
27532,592
28120,588
28704,584
29284,580
29872,588
30460,588
31048,588
31688,640
32220,532
32804,584
33380,576
33960,580
34536,576
35112,576
35684,572
36252,568
36820,568
37388,568
37964,576
38528,564
39100,572
39676,576
40248,572
40820,572
41396,576
