time,x
0,632
628,628
1260,632
1888,628
2524,636
3156,632
3792,636
4424,632
5056,632
5688,632
6316,628
6940,624
7564,624
8188,624
8812,624
9432,620
10052,620
10668,616
11288,620
11904,616
12524,620
13136,612
13744,608
14356,612
14976,620
15592,616
16212,620
16836,624
17460,624
18088,628
18720,632
19344,624
19976,632
20604,628
21236,632
21924,688
22504,580
23144,640
23776,632
24464,688
25048,584
25684,636
26328,644
26972,644
27616,644
28268,652
28912,644
29560,648
30220,660
30876,656
31532,656
32188,656
32892,704
33492,600
34152,660
34808,656
35460,652
36116,656
36764,648
37460,696
38056,596
38704,648
39344,640
39992,648
40636,644
41280,644
41932,652
42596,664
43252,656
