time,x
0,620
656,656
1284,628
1924,640
2564,640
3204,640
3848,644
4496,648
5136,640
5788,652
6424,636
7084,660
7780,696
8368,588
9008,640
9652,644
10284,632
10916,632
11556,640
12188,632
12820,632
13460,640
14092,632
14780,688
15364,584
16004,640
16644,640
17284,640
17924,640
18568,644
19208,640
19844,636
20488,644
21120,632
21752,632
22384,632
23008,624
23640,632
24272,632
24900,628
25528,628
26156,628
26784,628
27468,684
28036,568
28672,636
29300,628
29984,684
30564,580
31196,632
31828,632
32464,636
33096,632
33792,696
34376,584
35016,640
35660,644
36360,700
36944,584
37584,640
38228,644
38860,632
39508,648
40152,644
40792,640
41436,644
42132,696
43356,1224
44008,652
44656,648
45304,648
45948,644
46596,648
47248,652
47896,648
48544,648
49196,652
49840,644
50488,648
