time,x
0,632
628,628
1312,684
1884,572
2576,692
3156,580
3788,632
4420,632
5060,640
5688,628
6324,636
7016,692
7596,580
8236,640
8884,648
9528,644
10172,644
10824,652
11472,648
12116,644
12768,652
13404,636
14048,644
14756,708
15344,588
15984,640
16628,644
17272,644
17640,368
17964,324
18548,584
19192,644
19820,628
20512,692
21100,588
21736,636
22376,640
23020,644
24284,1264
25556,1272
26240,684
26812,572
27444,632
28704,1260
29332,628
30024,692
30600,576
31228,628
31856,628
32484,628
33120,636
33752,632
34384,632
35016,632
35704,688
36276,572
37544,1268
38176,632
38804,628
39432,628
40068,636
40700,632
42008,1308
42592,584
43224,632
43848,624
44472,624
45100,628
45728,628
46352,624
47024,672
47592,568
48212,620
48824,612
49448,624
50064,616
50680,616
51292,612
51908,616
52528,620
