time,x
0,616
608,608
1224,616
1836,612
2448,612
3048,600
3652,604
4256,604
4864,608
5464,600
6072,608
6680,608
7280,600
7884,604
8480,596
9084,604
9684,600
10292,608
10884,592
11488,604
12092,604
12696,604
13296,600
13900,604
14508,608
15104,596
15716,612
16324,608
16932,608
17544,612
18152,608
18756,604
19364,608
19968,604
20576,608
21176,600
21784,608
22388,604
23000,612
23604,604
24212,608
24820,608
25432,612
26040,608
26648,608
27256,608
27860,604
28468,608
29076,608
29680,604
30276,596
30876,600
31484,608
32084,600
32672,588
33264,592
33852,588
34440,588
35028,588
35608,580
36196,588
36780,584
37372,592
37956,584
38552,596
39048,496
39740,692
40340,600
40936,596
41532,596
42724,1192
43324,600
43924,600
44520,596
45120,600
45728,608
46336,608
46940,604
47548,608
48152,604
48756,604
49364,608
49968,604
50576,608
51040,464
51368,328
52188,820
52828,640
53436,608
54032,596
54624,592
55212,588
55800,588
56384,584
56968,584
57556,588
58748,1192
59336,588
59940,604
60540,600
61752,1212
62364,612
62980,616
63592,612
64204,612
64820,616
65440,620
66056,616
66664,608
67284,620
67896,612
68508,612
69108,600
69716,608
70320,604
70920,600
71516,596
72112,596
72720,608
73316,596
73784,468
74124,340
74960,836
75592,632
76200,608
76804,604
77404,600
78004,600
78596,592
79188,592
79784,596
80376,592
80968,592
81560,592
82216,656
82764,548
83364,600
83968,604
84568,600
85224,656
85784,560
86392,608
86992,600
87596,604
88204,608
88812,608
89408,596
90008,600
90576,568
91208,632
91804,596
92404,600
93004,600
93600,596
94196,596
94784,588
95376,592
95964,588
96552,588
97136,584
97720,584
98304,584
98892,588
99472,580
100060,588
100648,588
101232,584
101832,600
102424,592
103020,596
103612,592
104208,596
104800,592
105396,596
105996,600
106600,604
107244,644
107796,552
108400,604
109008,608
109608,600
110224,616
110840,616
111460,620
112068,608
112684,616
113304,620
113924,620
114532,608
115148,616
115772,624
116392,620
117004,612
117624,620
118240,616
118852,612
119456,604
120072,616
120684,612
121296,612
121908,612
122512,604
123128,616
123736,608
124340,604
124952,612
125564,612
126160,596
126772,612
127384,612
127988,604
128588,600
129788,1200
130388,600
130984,596
131580,596
132156,576
132772,616
133360,588
133960,600
134560,600
135156,596
135756,600
136344,588
136940,596
137536,596
138136,600
138732,596
139332,600
139928,596
140528,600
141132,604
141736,604
142344,608
142944,600
143548,604
144156,608
144760,604
145368,608
145968,600
146576,608
147168,592
147780,612
148384,604
148988,604
149588,600
150784,1196
151384,600
151876,492
152584,708
153792,1208
154396,604
154828,432
155592,764
156796,1204
157396,600
158000,604
158592,592
159812,1220
160416,604
161020,604
161636,616
162264,628
162892,628
163504,612
164128,624
164744,616
165356,612
165960,604
166568,608
167172,604
167772,600
168368,596
168960,592
169548,588
170044,496
170732,688
171332,600
171920,588
172516,596
173048,532
173712,664
174308,596
174904,596
175512,608
175996,484
176712,716
177312,600
177908,596
178512,604
179108,596
179708,600
180312,604
180920,608
181532,612
182140,608
182752,612
183372,620
183984,612
184612,628
185272,660
185832,560
186436,604
187048,612
187660,612
188268,608
188868,600
189476,608
190088,612
190696,608
191132,436
191892,760
192512,620
193116,604
193720,604
194324,604
194932,608
195532,600
196132,600
196736,604
197332,596
197936,604
198532,596
199128,596
199724,596
200188,464
200920,732
201528,608
202128,600
202732,604
203336,604
203936,600
204540,604
205140,600
205748,608
206352,604
206964,612
